Key	角色	台詞
BeforeBattle_001	MainCharacter	（正在反覆調整緊急發信機的頻率，雜訊聲讓人心煩意亂。）
BeforeBattle_002	MainCharacter	（莉娜剛到那時候組織就甩手不管了，訊號基本上都沒接通過，但每天都會習慣性試一下。）
BeforeBattle_003	MainGirlA	「傭兵先生！聽！天上！好像有運輸機的聲音！」
BeforeBattle_004	MainCharacter	（抬頭望去，遠處的雲層中出現了一個小黑點，隨後投下了一個掛著降落傘的物資箱。）
BeforeBattle_005	MainCharacter	「居然真的有回應……上次他們明明說過要我們自生自滅。」
BeforeBattle_006	MainGirlB	「等等，那落點偏得也太離譜了？根本不是往基地丟吧？」
BeforeBattle_007	MainCharacter	（眼睜睜看著物資箱被風吹偏，砸進好幾公里外的荒野深處，那邊正好是蟲巢邊緣。）
BeforeBattle_008	MainGirlA	「那邊……以前好像是舊運輸路的盡頭。什麼有用的東西都搜不到，所以連獵人都不太會繞過去……」
BeforeBattle_009	MainCharacter	「搞什麼？他們是瞎了嗎？這麼大的基地看不到，丟到那種鳥不生蛋的地方？」
BeforeBattle_010	MainGirlC	「通訊設備炸了，他們收不到座標，所以只能在大概的位置投放。」
BeforeBattle_011	MainCharacter	「……所以說到底，又是妳害的？」
BeforeBattle_012	MainGirlC	「因果關係上來說，是的。不過誤差在可接受範圍內，至少還在觀測範圍內。」
BeforeBattle_013	MainGirlB	「接受妳個頭！那邊是蟲巢的邊緣地帶！我已經從望遠鏡看到物資箱被蟲子包圍了！」
BeforeBattle_014	MainCharacter	「媽的，我就知道沒這麼順利。瑟琳，上車！莉娜，妳留下來操作基地砲台支援我們。我們得在蟲子把那些物資當餅乾吃掉前搶回來。」
BeforeBattle_015	MainCharacter	「至於妳，諾拉，給我留在基地看好家，別再給我增加工作量。」
BeforeBattle_016	MainGirlC	「收到。正好我也睏了，不想動。不過……」
BeforeBattle_017	MainGirlC	（她從口袋裡拿出一個像遊戲手把的控制器，打了個哈欠。）
BeforeBattle_018	MainGirlC	「為了確保我的維修材料能安全回來，我會提供一點遠程支援。」
BeforeBattle_019	MainCharacter	「支援？妳人都在這了要怎麼支援？」
BeforeBattle_020	MainGirlC	（按下按鈕，基地後方傳來悶響。幾組摺疊起來的便攜哨戒砲被無人機從研究所殘留的補給點吊起，在荒野上空展開支架。）
BeforeBattle_021	MainGirlC	「便攜哨戒砲。火力比不上基地砲塔，但幫你們清條路夠了。」
BeforeBattle_022	MainCharacter	「等等，諾拉，妳什麼時候搞出這堆東西的？……算了，先不管了。瑟琳，上車！速戰速決！」
AfterBattle_001	MainCharacter	（一腳踹開最後一隻試圖啃咬物資箱的蟲子，將沉重的箱子搬上後車廂。）
AfterBattle_002	MainCharacter	「拿到了。晶片、線路、補給品都齊全。」
AfterBattle_003	MainCharacter	（基地裡，莉娜透過攝影設備檢查我們搬上車的物資箱。）
AfterBattle_004	MainGirlB	「嘖，居然沒塞次級貨濫竽充數。這晶片我在中央兵工廠那邊都很少見。他們是丟錯了，還是良心發現？」
